Pais,Nome_da_moeda,Continente,Países_vizinhos,Timestamp
Eritrea,Nakfa,AF,"Ethiopia, Sudan, Djibouti",2024-09-04T15:14:12.114007
Estonia,Euro,EU,"Russia, Latvia",2024-09-04T15:14:12.264006
Ethiopia,Birr,AF,"Eritrea, Kenya, Sudan, South Sudan, Somalia, Djibouti",2024-09-04T15:14:13.217937
Falkland Islands,Pound,SA,,2024-09-04T15:14:13.307324
Faroe Islands,Krone,EU,,2024-09-04T15:14:13.398228
Fiji,Dollar,OC,,2024-09-04T15:14:13.507314
Finland,Euro,EU,"Norway, Russia, Sweden",2024-09-04T15:14:13.740313
France,Euro,EU,"Switzerland, Germany, Belgium, Luxembourg, Italy, Andorra, Monaco, Spain",2024-09-04T15:14:14.255803
French Guiana,Euro,SA,"Suriname, Brazil",2024-09-04T15:14:14.406207
French Polynesia,Franc,OC,,2024-09-04T15:14:14.495529
French Southern Territories,Euro,AN,,2024-09-04T15:14:14.603529
Gabon,Franc,AF,"Cameroon, Equatorial Guinea, Republic of the Congo",2024-09-04T15:14:14.850526
Gambia,Dalasi,AF,Senegal,2024-09-04T15:14:15.472871
Georgia,Lari,AS,"Armenia, Azerbaijan, Turkey, Russia",2024-09-04T15:14:15.833430
Germany,Euro,EU,"Switzerland, Poland, Netherlands, Denmark, Belgium, Czech Republic, Luxembourg, France, Austria",2024-09-04T15:14:16.418184
Ghana,Cedi,AF,"Ivory Coast, Togo, Burkina Faso",2024-09-04T15:14:16.622223
Gibraltar,Pound,EU,Spain,2024-09-04T15:14:16.713223
Greece,Euro,EU,"Albania, Macedonia, Turkey, Bulgaria",2024-09-04T15:14:17.026375
Greenland,Krone,NA,,2024-09-04T15:14:17.114372
Grenada,Dollar,NA,,2024-09-04T15:14:17.217372
Guadeloupe,Euro,NA,Netherlands Antilles,2024-09-04T15:14:17.307372
Guam,Dollar,OC,,2024-09-04T15:14:17.397375
Guatemala,Quetzal,NA,"Mexico, Honduras, Belize, El Salvador",2024-09-04T15:14:18.205350
Guernsey,Pound,EU,,2024-09-04T15:14:18.299025
Guinea,Franc,AF,"Liberia, Senegal, Sierra Leone, Ivory Coast, Guinea-Bissau, Mali",2024-09-04T15:14:18.676436
Guinea-Bissau,Franc,AF,"Senegal, Guinea",2024-09-04T15:14:18.872902
Guyana,Dollar,SA,"Suriname, Brazil, Venezuela",2024-09-04T15:14:19.076908
Haiti,Gourde,NA,Dominican Republic,2024-09-04T15:14:19.168907
Heard Island and McDonald Islands,Dollar,AN,,2024-09-04T15:14:19.259907
Honduras,Lempira,NA,"Guatemala, Nicaragua, El Salvador",2024-09-04T15:14:19.482017
Hong Kong,Dollar,AS,,2024-09-04T15:14:19.570014
Hungary,Forint,EU,"Slovakia, Slovenia, Romania, Ukraine, Serbia and Montenegro, Croatia, Austria, Serbia",2024-09-04T15:14:20.118016
Iceland,Krona,EU,,2024-09-04T15:14:20.740525
India,Rupee,AS,"China, Nepal, Myanmar, Bhutan, Pakistan, Bangladesh",2024-09-04T15:14:21.170525
Indonesia,Rupiah,AS,"Papua New Guinea, East Timor, Malaysia",2024-09-04T15:14:21.373940
Iran,Rial,AS,"Turkmenistan, Afghanistan, Iraq, Armenia, Pakistan, Azerbaijan, Turkey",2024-09-04T15:14:21.827941
Iraq,Dinar,AS,"Syria, Saudi Arabia, Iran, Jordan, Turkey, Kuwait",2024-09-04T15:14:22.258940
Ireland,Euro,EU,United Kingdom,2024-09-04T15:14:22.349941
Isle of Man,Pound,EU,,2024-09-04T15:14:22.439940
Israel,Shekel,AS,"Syria, Jordan, Lebanon, Egypt, Palestinian Territory",2024-09-04T15:14:22.777378
Italy,Euro,EU,"Switzerland, Vatican, Slovenia, San Marino, France, Austria",2024-09-04T15:14:23.210522
Ivory Coast,Franc,AF,"Liberia, Ghana, Guinea, Burkina Faso, Mali",2024-09-04T15:14:23.532744
Jamaica,Dollar,NA,,2024-09-04T15:14:24.168947
Japan,Yen,AS,,2024-09-04T15:14:24.255947
Jersey,Pound,EU,,2024-09-04T15:14:24.343947
Jordan,Dinar,AS,"Syria, Saudi Arabia, Iraq, Israel, Palestinian Territory",2024-09-04T15:14:24.681951
Kazakhstan,Tenge,AS,"Turkmenistan, China, Kyrgyzstan, Uzbekistan, Russia",2024-09-04T15:14:25.033950
Kenya,Shilling,AF,"Ethiopia, Tanzania, South Sudan, Somalia, Uganda",2024-09-04T15:14:25.402949
Kiribati,Dollar,OC,,2024-09-04T15:14:25.492947
Kosovo,Euro,EU,"Serbia, Albania, Macedonia, Montenegro",2024-09-04T15:14:25.750947
Kuwait,Dinar,AS,"Saudi Arabia, Iraq",2024-09-04T15:14:25.917758
Kyrgyzstan,Som,AS,"China, Tajikistan, Uzbekistan, Kazakhstan",2024-09-04T15:14:26.209786
Laos,Kip,AS,"China, Myanmar, Cambodia, Thailand, Vietnam",2024-09-04T15:14:27.116522
Latvia,Euro,EU,"Lithuania, Estonia, Belarus, Russia",2024-09-04T15:14:27.388523
Lebanon,Pound,AS,"Syria, Israel",2024-09-04T15:14:27.554523
Lesotho,Loti,AF,South Africa,2024-09-04T15:14:27.644525
Liberia,Dollar,AF,"Sierra Leone, Ivory Coast, Guinea",2024-09-04T15:14:27.852523
Libya,Dinar,AF,"Chad, Niger, Algeria, Sudan, Tunisia, Egypt",2024-09-04T15:14:28.281354
Liechtenstein,Franc,EU,"Switzerland, Austria",2024-09-04T15:14:28.443950
Lithuania,Litas,EU,"Poland, Belarus, Russia, Latvia",2024-09-04T15:14:28.727117
Luxembourg,Euro,EU,"Germany, Belgium, France",2024-09-04T15:14:28.935115
Macao,Pataca,AS,,2024-09-04T15:14:29.024116
Macedonia,Denar,EU,"Albania, Greece, Serbia and Montenegro, Bulgaria, Serbia, Kosovo",2024-09-04T15:14:29.954233
Madagascar,Ariary,AF,,2024-09-04T15:14:30.043365
Malawi,Kwacha,AF,"Tanzania, Mozambique, Zambia",2024-09-04T15:14:30.294636
Malaysia,Ringgit,AS,"Brunei, Thailand, Indonesia",2024-09-04T15:14:30.497636
Maldives,Rufiyaa,AS,,2024-09-04T15:14:30.604018
Mali,Franc,AF,"Senegal, Niger, Algeria, Ivory Coast, Guinea, Mauritania, Burkina Faso",2024-09-04T15:14:31.039015
Malta,Euro,EU,,2024-09-04T15:14:31.146018
Marshall Islands,Dollar,OC,,2024-09-04T15:14:31.261503
Martinique,Euro,NA,,2024-09-04T15:14:31.351503
Mauritania,Ouguiya,AF,"Senegal, Algeria, Western Sahara, Mali",2024-09-04T15:14:31.614725
Mauritius,Rupee,AF,,2024-09-04T15:14:32.269909
Mayotte,Euro,AF,,2024-09-04T15:14:32.355908
Mexico,Peso,NA,"Guatemala, United States, Belize",2024-09-04T15:14:32.571907
Micronesia,Dollar,OC,,2024-09-04T15:14:32.659907
Moldova,Leu,EU,"Romania, Ukraine",2024-09-04T15:14:32.825907
Monaco,Euro,EU,France,2024-09-04T15:14:32.914907
Mongolia,Tugrik,AS,"China, Russia",2024-09-04T15:14:33.067124
Montenegro,Euro,EU,"Albania, Croatia, Bosnia and Herzegovina, Serbia, Kosovo",2024-09-04T15:14:33.433432
Montserrat,Dollar,NA,,2024-09-04T15:14:33.525431
Morocco,Dirham,AF,"Algeria, Western Sahara, Spain",2024-09-04T15:14:33.731432
Mozambique,Metical,AF,"Zimbabwe, Tanzania, Swaziland, South Africa, Zambia, Malawi",2024-09-04T15:14:34.665956
Myanmar,Kyat,AS,"China, Laos, Thailand, Bangladesh, India",2024-09-04T15:14:35.017825
